"","x"
"1","North America"
"2","North America"
"3","North America"
"4","North America"
"5","North America"
"6","North America"
"7","North America"
"8","North America"
"9","North America"
"10","North America"
"11","North America"
"12","North America"
"13","North America"
"14","North America"
"15","North America"
"16","North America"
"17","North America"
"18","North America"
"19","North America"
"20","North America"
"21","North America"
"22","North America"
"23","North America"
"24","North America"
"25","North America"
"26","North America"
"27","North America"
"28","North America"
"29","North America"
"30","North America"
"31","North America"
"32","North America"
"33","North America"
"34","North America"
"35","North America"
"36","North America"
"37","North America"
"38","North America"
"39","North America"
"40","North America"
"41","North America"
"42","North America"
"43","North America"
"44","North America"
"45","North America"
"46","North America"
"47","North America"
"48","North America"
"49","North America"
"50","North America"
"51","North America"
"52","North America"
"53","North America"
"54","North America"
"55","North America"
"56","North America"
"57","North America"
"58","North America"
"59","North America"
"60","North America"
"61","North America"
"62","North America"
"63","North America"
"64","North America"
"65","North America"
"66","North America"
"67","North America"
"68","North America"
"69","North America"
"70","North America"
"71","Asia & Europe & Africa"
"72","Asia & Europe & Africa"
"73","Asia & Europe & Africa"
"74","North America"
"75","North America"
"76","North America"
"77","North America"
"78","North America"
"79","Asia & Europe & Africa"
"80","Asia & Europe & Africa"
"81","Asia & Europe & Africa"
"82","Asia & Europe & Africa"
"83","Asia & Europe & Africa"
"84","North America"
"85","North America"
"86","North America"
"87","North America"
"88","North America"
"89","North America"
"90","North America"
"91","North America"
"92","North America"
"93","North America"
"94","North America"
"95","North America"
"96","North America"
"97","North America"
"98","North America"
"99","North America"
"100","North America"
"101","North America"
"102","North America"
"103","North America"
"104","North America"
"105","North America"
"106","North America"
"107","North America"
"108","North America"
"109","North America"
"110","North America"
"111","North America"
"112","Asia & Europe & Africa"
"113","North America"
"114","North America"
"115","North America"
"116","North America"
"117","North America"
"118","North America"
"119","North America"
"120","North America"
"121","North America"
"122","North America"
"123","North America"
"124","North America"
"125","North America"
"126","North America"
"127","North America"
"128","North America"
"129","North America"
"130","North America"
"131","North America"
"132","North America"
"133","North America"
"134","North America"
"135","North America"
"136","North America"
"137","North America"
"138","North America"
"139","North America"
"140","North America"
"141","North America"
"142","North America"
"143","North America"
"144","North America"
"145","North America"
"146","North America"
"147","North America"
"148","North America"
"149","North America"
"150","North America"
"151","North America"
"152","North America"
"153","North America"
"154","North America"
"155","North America"
"156","North America"
"157","North America"
"158","North America"
"159","North America"
"160","North America"
"161","North America"
"162","North America"
"163","North America"
"164","North America"
"165","North America"
"166","North America"
"167","North America"
"168","North America"
"169","North America"
"170","North America"
"171","North America"
"172","North America"
"173","North America"
"174","North America"
"175","North America"
"176","North America"
"177","North America"
"178","North America"
"179","North America"
"180","North America"
"181","North America"
"182","North America"
"183","North America"
"184","North America"
"185","North America"
"186","North America"
"187","North America"
"188","North America"
"189","North America"
"190","North America"
"191","North America"
"192","North America"
"193","North America"
"194","North America"
"195","North America"
"196","North America"
"197","North America"
"198","North America"
"199","North America"
"200","North America"
"201","North America"
"202","North America"
"203","Asia & Europe & Africa"
"204","North America"
"205","North America"
"206","Asia & Europe & Africa"
"207","Asia & Europe & Africa"
"208","Asia & Europe & Africa"
"209","Asia & Europe & Africa"
"210","Asia & Europe & Africa"
"211","Asia & Europe & Africa"
"212","Asia & Europe & Africa"
"213","North America"
"214","North America"
"215","North America"
"216","North America"
"217","North America"
"218","North America"
"219","North America"
"220","North America"
"221","North America"
"222","North America"
"223","North America"
"224","North America"
"225","North America"
"226","North America"
"227","North America"
"228","North America"
"229","North America"
"230","North America"
"231","North America"
"232","North America"
"233","North America"
"234","North America"
"235","North America"
"236","North America"
"237","North America"
"238","North America"
"239","North America"
"240","North America"
"241","North America"
"242","North America"
"243","North America"
"244","North America"
"245","North America"
"246","North America"
"247","North America"
"248","North America"
"249","North America"
"250","North America"
"251","North America"
"252","North America"
"253","North America"
"254","North America"
"255","North America"
"256","North America"
"257","North America"
"258","North America"
"259","North America"
"260","North America"
"261","North America"
"262","North America"
"263","North America"
"264","North America"
"265","North America"
"266","North America"
"267","North America"
"268","North America"
"269","North America"
"270","North America"
"271","North America"
"272","North America"
"273","North America"
"274","North America"
"275","North America"
"276","North America"
"277","North America"
"278","North America"
"279","North America"
"280","North America"
"281","North America"
"282","North America"
"283","North America"
"284","North America"
"285","North America"
"286","North America"
"287","North America"
"288","North America"
"289","North America"
"290","North America"
"291","North America"
"292","North America"
"293","North America"
"294","North America"
"295","North America"
"296","North America"
"297","North America"
"298","North America"
"299","North America"
"300","North America"
"301","North America"
"302","North America"
"303","North America"
"304","North America"
"305","North America"
"306","North America"
"307","North America"
"308","North America"
"309","North America"
"310","North America"
"311","North America"
"312","North America"
"313","North America"
"314","North America"
"315","North America"
"316","North America"
"317","North America"
"318","North America"
"319","North America"
"320","North America"
"321","North America"
"322","North America"
"323","North America"
"324","North America"
"325","North America"
"326","North America"
"327","North America"
"328","North America"
"329","North America"
"330","North America"
"331","North America"
"332","Asia & Europe & Africa"
"333","Asia & Europe & Africa"
"334","Asia & Europe & Africa"
"335","Asia & Europe & Africa"
"336","Asia & Europe & Africa"
"337","Asia & Europe & Africa"
"338","Asia & Europe & Africa"
"339","Asia & Europe & Africa"
"340","Asia & Europe & Africa"
"341","Asia & Europe & Africa"
"342","Asia & Europe & Africa"
"343","Asia & Europe & Africa"
"344","Asia & Europe & Africa"
"345","Asia & Europe & Africa"
"346","Asia & Europe & Africa"
"347","Asia & Europe & Africa"
"348","Asia & Europe & Africa"
"349","North America"
"350","North America"
"351","North America"
"352","North America"
"353","North America"
"354","North America"
"355","North America"
"356","North America"
"357","North America"
"358","North America"
"359","North America"
"360","North America"
"361","North America"
"362","North America"
"363","North America"
"364","North America"
"365","North America"
"366","North America"
"367","North America"
"368","North America"
"369","North America"
"370","North America"
"371","North America"
"372","North America"
"373","North America"
"374","North America"
"375","North America"
"376","North America"
"377","North America"
"378","North America"
"379","North America"
"380","North America"
"381","North America"
"382","North America"
"383","North America"
"384","North America"
"385","North America"
"386","North America"
"387","North America"
"388","North America"
"389","North America"
"390","North America"
"391","North America"
"392","North America"
"393","North America"
"394","North America"
"395","North America"
"396","North America"
"397","North America"
"398","North America"
"399","North America"
"400","North America"
"401","North America"
"402","North America"
"403","North America"
"404","North America"
"405","North America"
"406","North America"
"407","North America"
"408","North America"
"409","North America"
"410","North America"
"411","North America"
"412","North America"
"413","North America"
"414","North America"
"415","North America"
"416","North America"
"417","North America"
"418","North America"
"419","North America"
"420","North America"
"421","North America"
"422","North America"
"423","North America"
"424","North America"
"425","North America"
"426","North America"
"427","North America"
"428","North America"
"429","North America"
"430","North America"
"431","North America"
"432","North America"
"433","North America"
"434","North America"
"435","North America"
"436","North America"
"437","North America"
"438","North America"
"439","North America"
"440","North America"
"441","North America"
"442","North America"
"443","North America"
"444","North America"
"445","North America"
"446","North America"
"447","North America"
"448","North America"
"449","North America"
"450","North America"
"451","North America"
"452","North America"
"453","North America"
"454","North America"
"455","North America"
"456","North America"
"457","North America"
"458","North America"
"459","North America"
"460","North America"
"461","North America"
"462","North America"
"463","North America"
"464","North America"
"465","North America"
"466","North America"
"467","North America"
"468","North America"
"469","North America"
"470","North America"
"471","North America"
"472","North America"
"473","North America"
"474","North America"
"475","North America"
"476","North America"
"477","North America"
"478","North America"
"479","North America"
"480","North America"
"481","North America"
"482","North America"
"483","North America"
"484","North America"
"485","North America"
"486","North America"
"487","North America"
"488","North America"
"489","North America"
"490","North America"
"491","North America"
"492","North America"
"493","North America"
"494","North America"
"495","North America"
"496","North America"
"497","North America"
"498","North America"
"499","North America"
"500","North America"
"501","North America"
"502","North America"
"503","North America"
"504","North America"
"505","North America"
"506","North America"
"507","North America"
"508","North America"
"509","North America"
"510","North America"
"511","North America"
"512","North America"
"513","North America"
"514","North America"
"515","North America"
"516","North America"
"517","North America"
"518","North America"
"519","North America"
"520","North America"
"521","North America"
"522","North America"
"523","North America"
"524","North America"
